depth,variable,label,importancia
1,week_pattern,modo_semanal,0.0
1,p_weekdays,p,1.0
1,weekday_step,gradiente,0.0
1,K,K,0.0
1,pos1,pos1,0.0
1,pos2,pos2,0.0
1,width1,width1,0.0
1,width2,width2,0.0
1,peak_amplitude_rule,modo_altura,0.0
1,ratio_target,R,0.0
1,schedule_case,run,0.0
2,week_pattern,modo_semanal,0.0
2,p_weekdays,p,0.5677
2,weekday_step,gradiente,0.0
2,K,K,0.0
2,pos1,pos1,0.1144
2,pos2,pos2,0.0
2,width1,width1,0.0
2,width2,width2,0.0
2,peak_amplitude_rule,modo_altura,0.0
2,ratio_target,R,0.0
2,schedule_case,run,0.3179
3,week_pattern,modo_semanal,0.0061
3,p_weekdays,p,0.3956
3,weekday_step,gradiente,0.0
3,K,K,0.0
3,pos1,pos1,0.0797
3,pos2,pos2,0.16
3,width1,width1,0.0
3,width2,width2,0.0
3,peak_amplitude_rule,modo_altura,0.061
3,ratio_target,R,0.0
3,schedule_case,run,0.2976
4,week_pattern,modo_semanal,0.0051
4,p_weekdays,p,0.3308
4,weekday_step,gradiente,0.0
4,K,K,0.0
4,pos1,pos1,0.1484
4,pos2,pos2,0.1338
4,width1,width1,0.0
4,width2,width2,0.0
4,peak_amplitude_rule,modo_altura,0.1276
4,ratio_target,R,0.0055
4,schedule_case,run,0.2488
5,week_pattern,modo_semanal,0.0047
5,p_weekdays,p,0.3071
5,weekday_step,gradiente,0.0
5,K,K,0.0
5,pos1,pos1,0.1477
5,pos2,pos2,0.1525
5,width1,width1,0.003
5,width2,width2,0.0017
5,peak_amplitude_rule,modo_altura,0.1191
5,ratio_target,R,0.0115
5,schedule_case,run,0.2528
6,week_pattern,modo_semanal,0.0053
6,p_weekdays,p,0.2941
6,weekday_step,gradiente,0.0
6,K,K,0.0
6,pos1,pos1,0.1667
6,pos2,pos2,0.1308
6,width1,width1,0.0067
6,width2,width2,0.0028
6,peak_amplitude_rule,modo_altura,0.134
6,ratio_target,R,0.0133
6,schedule_case,run,0.2464
7,week_pattern,modo_semanal,0.0043
7,p_weekdays,p,0.2824
7,weekday_step,gradiente,0.0001
7,K,K,0.0002
7,pos1,pos1,0.1363
7,pos2,pos2,0.146
7,width1,width1,0.0121
7,width2,width2,0.0088
7,peak_amplitude_rule,modo_altura,0.1344
7,ratio_target,R,0.0388
7,schedule_case,run,0.2365
8,week_pattern,modo_semanal,0.0062
8,p_weekdays,p,0.2722
8,weekday_step,gradiente,0.0038
8,K,K,0.0
8,pos1,pos1,0.1515
8,pos2,pos2,0.1224
8,width1,width1,0.0276
8,width2,width2,0.0107
8,peak_amplitude_rule,modo_altura,0.1335
8,ratio_target,R,0.0452
8,schedule_case,run,0.2268
9,week_pattern,modo_semanal,0.0057
9,p_weekdays,p,0.2622
9,weekday_step,gradiente,0.0051
9,K,K,0.0
9,pos1,pos1,0.1448
9,pos2,pos2,0.1162
9,width1,width1,0.0351
9,width2,width2,0.0285
9,peak_amplitude_rule,modo_altura,0.1294
9,ratio_target,R,0.0554
9,schedule_case,run,0.2177
10,week_pattern,modo_semanal,0.0102
10,p_weekdays,p,0.2521
10,weekday_step,gradiente,0.0046
10,K,K,0.0
10,pos1,pos1,0.1489
10,pos2,pos2,0.1043
10,width1,width1,0.0411
10,width2,width2,0.0324
10,peak_amplitude_rule,modo_altura,0.1282
10,ratio_target,R,0.0683
10,schedule_case,run,0.2099
11,week_pattern,modo_semanal,0.0079
11,p_weekdays,p,0.2489
11,weekday_step,gradiente,0.009
11,K,K,0.0023
11,pos1,pos1,0.116
11,pos2,pos2,0.133
11,width1,width1,0.0464
11,width2,width2,0.0312
11,peak_amplitude_rule,modo_altura,0.1265
11,ratio_target,R,0.0721
11,schedule_case,run,0.2067
